Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,229299,108,7,306691,643.52,0.007%,714.12910,611.81,137.96,877.3
TOTAL,229299,108,7,306691,643.52,0.007%,714.12910,611.81,137.96,877.3
