Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,229299,108,70,177,205,247,7,306691,0.007%,714.12910,611.81,137.96
TOTAL,229299,108,70,177,205,247,7,306691,0.007%,714.12910,611.81,137.96
